Title,Abstract,Tags,Category
Effects of Natural Enemy Biodiversity on the Suppression of Arthropod Herbivores in Terrestrial Ecosystems,"Claims about the role of predator diversity in maintaining ecosystem function and providing ecosystem services such as pest control are controversial, but evaluative tests are beginning to accumulate. Empirical and experimental comparisons of species-rich versus species-poor assemblages of entomophagous arthropods and vertebrates range from strong suppression to facilitative release of herbivorous arthropod prey. Top-down control can be strengthened when natural enemies complement each other, dampened by negative interactions, balanced by both factors, and driven by single influential species. A meta-analytic synthesis shows a significant overall effect of enemy richness increasing top-down control of herbivores, which is consistent in agricultural studies conducted in tropical versus temperate zones, in studies using caged versus open-field designs, but not so in nonagricultural habitats. Synthetic analyses address theory and help set precautionary policy for conserving ecological services broadly, while characterizing uncertainty associated with herbivore response to changes in enemy diversity.",,Biophysical
Enabling Sustainable Production-Consumption Systems,"The pursuit of sustainability in particular places and sectors often unravels at the edges. Efforts to tackle environmental problems in one place shift them somewhere else or are overwhelmed by external changes in drivers. Gains in energy efficiency of appliances used in houses are offset by greater total numbers or compensating changes in patterns of use. Analytical perspectives and practical initiatives, which treat production and consumption jointly, are needed to complement experiences and efforts with sector-, place-, product- and consumer-oriented approaches.             There is now a growing body of scholarship exploring a diverse range of initiatives and experiments aimed at enabling sustainable production-consumption systems (PCSs). Different approaches make divergent assumptions about market institutions, government regulation, sociotechnical innovation, and actor partnerships. From this body of work flow useful insights for others who would engage, for example, in redesigning relationships around services rather than products or between third world producers and first world consumers in fair trade initiatives.",,Biophysical
Sea Change: Island Communities and Climate Change,"Island communities stand to be among the first and most adversely affected by the impacts of global climate change. Rising sea levels, changing precipitation and storm patterns, and increasing air and sea-surface temperatures stress already limited island resources while climate change policies circumscribe local decision making. Anthropologists make important contributions to understanding island-based knowledge, global causes of vulnerability, local perceptions of risk, and islander agency channeled into adaptive capacity and resilience. A conceptual framework that recognizes both the complexity of the causes of island vulnerability and the constraints and opportunities available to islanders offers an analytical approach to understanding islander responses to climate change, including migration. The framework is used to show that island communities are not merely isolated, small, and impoverished but that they are often deeply globally connected in ways that reject such simple descriptions and will be essential to just and equitable climate solutions.",,Biophysical
Global Groundwater? Issues and Solutions,"Groundwater plays a major, if often unrecognized, role in both hydrologic and human systems. The majority of the world's drinking water probably comes from groundwater, and in the last half century, there has been an amazing, if largely ignored, boom in agricultural groundwater use that has provided improved livelihoods and food security to billions of farmers and consumers. However, increased use of groundwater has also created problems, and there are fears—sometimes challenged—that the boom may soon turn to bust. This article reviews the recent literature on the geographic and temporal dimensions of groundwater use and the range of technological and institutional approaches that have been applied in attempts at its management. It then examines the key reasons the resource has proven so difficult to manage and concludes that, in many cases, the most promising solutions may lie outside the groundwater sector and within a broader approach to resource systems.",,Biophysical
Improving Societal Outcomes of Extreme Weather in a Changing Climate: An Integrated Perspective,"Despite hazard mitigation efforts and scientific and technological advances, extreme weather events continue to cause substantial losses. The impacts of extreme weather result from complex interactions among physical and human systems across spatial and temporal scales. This article synthesizes current interdisciplinary knowledge about extreme weather, including temperature extremes (heat and cold waves), precipitation extremes (including floods and droughts), and storms and severe weather (including tropical cyclones). We discuss hydrometeorological aspects of extreme weather; projections of changes in extremes with anthropogenic climate change; and how social vulnerability, coping, and adaptation shape the societal impacts of extreme weather. We find four critical gaps where work is needed to improve outcomes of extreme weather: (a) reducing vulnerability; (b) enhancing adaptive capacity, including decision-making flexibility; (c) improving the usability of scientific information in decision making, and (d) understanding and addressing local causes of harm through participatory, community-based efforts formulated within the larger policy context.",,Biophysical
Climate Risk,"At their core, societal decisions about climate policy—whether emissions reductions, adaptation to climate changes, or the implementation of geoengineering—hinge on collective judgments about the extent to which adverse effects to human welfare and ecosystem services will result from changes associated with anthropogenic release of greenhouse gases and the costs associated with the emissions reductions or adaptation activities. In this article, we discuss how risk is understood in the context of climate change, which presents particularly confounding, long-term, and pervasive threats to society and ecosystems. We review theoretical approaches to risk as applied to climate change and policy responses to climate change, focusing especially on the perspectives of individuals, governments, and firms with respect to traditional decision analysis frameworks. We also evaluate the peculiar role of uncertainty in climate debates and how it affects decision making; the origins and nature of the various uncertainties; and how uncertainty is represented, framed, and, at times, wielded by scientists, the Intergovernmental Panel on Climate Change (IPCC), the media, politicians, and others. We conclude by assessing the limitations of and appropriate venues for risk analysis in climate decision making.",,Biophysical
Mutualisms and Aquatic Community Structure: The Enemy of My Enemy Is My Friend,"▪ Abstract  Mutualisms occur when interactions between species produce reciprocal benefits. However, the outcome of these interactions frequently shifts from positive, to neutral, to negative, depending on the environmental and community context, and indirect effects commonly produce unexpected mutualisms that have community-wide consequences. The dynamic, and context dependent, nature of mutualisms can transform consumers, competitors, and parasites into mutualists, even while they consume, compete with, or parasitize their partner species. These dynamic, and often diffuse, mutualisms strongly affect community organization and ecosystem processes, but the historic focus on pairwise interactions decoupled from their more complex community context has obscured their importance. In aquatic systems, mutualisms commonly support ecosystem-defining foundation species, underlie energy and nutrient dynamics within and between ecosystems, and provide mechanisms by which species can rapidly adjust to ecological variance. Mutualism is as important as competition, predation, and physical disturbance in determining community structure, and its impact needs to be adequately incorporated into community theory.",,Biophysical
Biology of Invasive Termites: A Worldwide Review,"The number of recognized invasive termite species has increased from 17 in 1969 to 28 today. Fourteen species have been added to the list in the past 44 years; 10 have larger distributions and 4 have no reported change in distribution, and 3 species are no longer considered invasive. Although most research has focused on invasive termites in urban areas, molecular identification methods have answered questions about certain species and found that at least six species have invaded natural forest habitats. All invasive species share three characteristics that together increase the probability of creating viable propagules: they eat wood, nest in food, and easily generate secondary reproductives. These characteristics are most common in two families, the Kalotermitidae and Rhinotermitidae (which make up 21 species on the invasive termite list), particularly in three genera, Cryptotermes, Heterotermes, and Coptotermes (which together make up 16 species). Although it is the largest termite family, the Termitidae (comprising 70% of all termite species) have only two invasive species, because relatively few species have these characteristics. Islands have double the number of invasive species that continents do, with islands in the South Pacific the most invaded geographical region. Most invasive species originate from Southeast Asia. The standard control methods normally used against native pest termites are also employed against invasive termites; only two eradication attempts, in South Africa and New Zealand, appear to have been successful, both against Coptotermes species.",,Biophysical
Ecosystem Consequences of Biological Invasions,"Exotic species affect the biogeochemical pools and fluxes of materials and energy, thereby altering the fundamental structure and function of their ecosystems. Rapidly accumulating evidence from many species of both animal and plant invaders suggests that invasive species often increase pool sizes, particularly of biomass, and promote accelerated flux rates, but many exceptions can be found. Ecosystem dynamics are altered through a variety of interacting, mutually reinforcing mechanistic pathways, including species' resource acquisition traits; population densities; ability to engineer changes to physical environmental conditions; effects on disturbance, especially fire; regimes; the ability to structure habitat for other species; and their impact on food webs. Local factors of landscape setting, history, and other sources of disturbance constrain ecosystem responses to invasions. New research directions are suggested, including the need for whole-system budgets, the quantification of abundance-impact relationships for particular ecosystem processes, and a better exploration of food web impacts on ecosystem processes.",,Biophysical
Conservation Paleobiology: Leveraging Knowledge of the Past to Inform Conservation and Restoration,"Humans now play a major role in altering Earth and its biota. Finding ways to ameliorate human impacts on biodiversity and to sustain and restore the ecosystem services on which we depend is a grand scientific and societal challenge. Conservation paleobiology is an emerging discipline that uses geohistorical data to meet these challenges by developing and testing models of how biota respond to environmental stressors. Here we (a) describe how the discipline has already provided insights about biotic responses to key environmental stressors, (b) outline research aimed at disentangling the effects of multiple stressors, (c) provide examples of deliverables for managers and policy makers, and (d) identify methodological advances in geohistorical analysis that will foster the next major breakthroughs in conservation outcomes. We highlight cases for which exclusive reliance on observations of living biota may lead researchers to erroneous conclusions about the nature and magnitude of biotic change, vulnerability, and resilience.",,Biophysical
